RPM,Magnitude
10,9.95
15,10.24
20,9.86
25,11.15
30,11.48
35,10.16
40,9.85
45,10.17
50,10.76
55,11.27
60,10.57
65,13.71
70,13.08
75,12.08
80,12.73
85,13.15
90,14.10
95,13.70
100,14.54
