RPM,Magnitude
10,11.45
15,12.52
20,10.86
25,11.14
30,11.44
35,12.09
40,11.07
45,10.25
50,10.51
55,10.52
60,13.36
65,13.42
70,14.11
75,14.41
80,15.84
85,13.86
90,13.82
95,13.90
100,11.67
